food_id,food_name_original,food_name_normalized,source,source_url,category_original,category_normalized,water_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_c_mg,edible_portion_percent,unit_basis,scraped_at,cleaned_at,missing_nutrient_count,completeness_score,notes
tkpi_0042,Mi basah,mi basah,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,80.0,88.0,0.6,3.3,14.0,0.1,2.1,14.0,13.0,6.8,63.0,13.5,0.06,0.4,,0.0,,,0.0,0.0,0.0,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,4,0.8261,
tkpi_0043,Mi kering,mi kering,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,10.6,339.0,10.0,1.7,6.3,0.4,1.4,31.0,143.0,3.9,760.0,83.0,0.29,1.9,,,0.0,,0.0,0.08,2.2,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,4,0.8261,
tkpi_0044,Misoa,misoa,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,10.0,345.0,8.5,2.2,78.0,0.5,1.3,52.0,120.0,8.7,3.064,44.0,0.08,0.0,0.0,0.0,0.0,,0.0,0.02,0.2,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,2,0.913,"Seperti mie, bentuk pipih"
tkpi_0045,Roti putih,roti putih,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,40.0,248.0,8.0,1.2,50.0,9.1,0.8,10.0,95.0,1.5,530.0,91.0,0.15,0.9,0.0,0.0,0.0,,0.1,0.29,2.4,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,2,0.913,
tkpi_0046,Tepung terigu,tepung terigu,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,11.8,333.0,9.0,1.0,77.2,0.3,1.0,22.0,150.0,1.3,2.0,0.0,0.0,2.8,0.0,0.0,0.0,,0.1,0.07,1.0,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,2,0.913,
tkpi_0047,Amparan tatak,amparan tatak,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,58.4,191.0,1.3,5.5,34.0,,0.8,,,,,,,,,,,,,,,,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,17,0.2609,"Seperti kue talam. Berbahan dasar tepung beras, santan, dan pisang"
tkpi_0048,"Apang kukus, kue","apang kukus, kue",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,49.5,202.0,3.0,0.3,46.7,,0.5,,,,,,,,,,,,,,,,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,17,0.2609,"Seperti kue mangkok. Berbahan dasar tepung beras, santan dan gula merah yang diolah dengan cara di kukus"
tkpi_0049,"Apem, kue","apem, kue",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,63.1,148.0,2.0,0.5,33.9,,0.5,,,,,,,,,,,,,,,,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,17,0.2609,"Seperti kue mangkok. Berbahan dasar tepung beras, santan dan gula merah yang diolah dengan cara di kukus"
tkpi_0050,Biskuit,biskuit,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,2.2,458.0,6.9,14.4,75.1,2.1,1.4,62.0,87.0,2.7,241.0,20.3,0.16,0.6,0.0,14.0,,,0.09,0.15,1.4,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,3,0.8696,
tkpi_0051,"Bakpia, kue","bakpia, kue",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,38.9,272.0,8.7,6.7,44.1,0.9,1.6,194.0,117.0,4.5,,,,,,,1.392,,0.31,1.0,2.9,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,8,0.6522,
